filename,R_0_0,G_0_0,B_0_0,R_0_1,G_0_1,B_0_1,R_0_2,G_0_2,B_0_2,R_0_3,G_0_3,B_0_3,R_0_4,G_0_4,B_0_4,R_0_5,G_0_5,B_0_5,R_1_0,G_1_0,B_1_0,R_1_1,G_1_1,B_1_1,R_1_2,G_1_2,B_1_2,R_1_3,G_1_3,B_1_3,R_1_4,G_1_4,B_1_4,R_1_5,G_1_5,B_1_5,R_2_0,G_2_0,B_2_0,R_2_1,G_2_1,B_2_1,R_2_2,G_2_2,B_2_2,R_2_3,G_2_3,B_2_3,R_2_4,G_2_4,B_2_4,R_2_5,G_2_5,B_2_5,R_3_0,G_3_0,B_3_0,R_3_1,G_3_1,B_3_1,R_3_2,G_3_2,B_3_2,R_3_3,G_3_3,B_3_3,R_3_4,G_3_4,B_3_4,R_3_5,G_3_5,B_3_5
C_3000K_ND0_color,43426.5828,50693.1166,51704.3718,37516.3842,39897.0169,29979.7900,49883.5379,50016.5065,25509.0412,34864.7516,44610.3886,52786.3705,23820.7709,27701.0274,30279.5958,23003.4682,23944.5253,23209.6915,35970.9158,41796.8320,29419.8192,28519.2086,28742.5962,27753.7952,33764.2230,28927.6579,37554.5532,51127.6677,46723.0974,35007.0519,36166.5691,35109.1455,30421.4803,41097.6072,42241.7273,40948.9230,39612.0933,43948.3212,48785.4301,33637.5797,31175.8961,35245.7000,43960.5565,33673.8260,40338.2828,45568.0957,35416.7467,25414.1947,37749.2091,34567.8575,30631.3624,50904.9017,51633.5656,50819.3252,43081.5248,34220.4970,27838.1680,35050.1871,29617.5806,23153.4375,44169.3394,38389.8728,27284.5488,19982.6631,28950.6201,43781.7807,28830.1665,32322.1903,37360.1993,50760.7590,51008.2317,50734.7799
C_3000K_ND1_color,29767.3454,40847.4461,40385.2182,29477.7745,32245.3388,21829.4814,46813.9869,42010.9862,12983.5740,25499.8180,31418.5902,41614.6018,15613.4352,18184.7468,21804.2052,12389.3364,12896.9234,12183.1707,22868.7388,26834.2794,19365.8982,18078.4076,18817.6773,16734.2315,22116.1633,19890.5564,21814.1834,47277.0234,39277.0780,20735.1115,28797.5860,26087.6013,18641.8759,27477.5434,28113.0181,26662.6836,29901.8822,31079.9909,35905.2846,26311.7551,20676.2595,25720.8524,38170.5657,21876.1581,30588.2065,36490.4479,23474.4142,14263.2110,29937.8305,25561.3217,21507.7531,42354.0363,43293.5231,41205.6673,30984.7010,22018.7659,16029.1021,27321.7828,19141.3503,13927.7213,39030.9457,26035.3884,18331.8622,10776.8050,18302.8242,32094.2160,22554.4371,25453.9621,29228.0469,46900.7585,47272.9182,44897.0027
C_3000K_ND2_color,24083.2109,34514.5515,33947.0757,24225.2297,25932.6231,15257.5029,39097.6016,34395.7636,7232.7483,18997.8581,23796.3320,32694.9006,10991.8877,13046.6736,16238.1550,8008.7259,8424.1921,7800.4676,16067.5931,19426.4422,13155.6831,12461.5472,13185.8341,10980.7033,15571.5002,14261.5675,14402.9234,41134.9812,33118.3427,14024.2549,23253.4957,20393.6324,12604.6896,19980.8889,20524.2359,19269.8970,22303.7452,23209.1592,27190.3430,20132.7960,14604.4204,18723.4359,30353.8467,15045.5012,22397.7127,28357.2402,15937.9190,7789.4835,23507.3280,19096.4653,15400.2628,35756.8522,36609.9844,34656.5427,22273.4318,14896.6565,10094.5554,20624.4943,13329.8979,8523.7713,31918.8277,19503.6170,11454.2107,6096.4064,12558.9893,21812.1253,17737.7598,20355.9554,22573.8916,42788.7367,43207.6926,39976.3448
C_3000K_ND3_color,13931.6606,22119.6404,21420.2609,15633.2225,16874.0583,8139.6410,27460.5576,23350.6215,1063.2097,10300.4813,13613.5508,19952.8316,5793.8242,7252.3113,9548.8071,3966.5521,4226.4586,3828.5113,8507.4482,10655.4926,6791.1457,6656.8960,7378.6026,5415.7062,8695.9093,8680.1926,6830.7442,29493.4913,23069.2074,6036.6164,15206.1107,12918.7002,6145.3345,10783.3451,11194.2060,10316.6185,13540.3184,13573.1196,15766.6735,12298.7309,7502.7299,10078.5163,19013.3217,7022.7543,11648.6206,16948.2776,8351.2874,2076.5337,14529.4739,11563.8700,8806.4717,23245.9847,23944.6819,22449.6225,13334.7110,8401.7057,5039.6782,13366.3410,7555.2330,3995.9930,21335.3767,11089.2972,5069.2559,2523.6384,7132.7744,11418.6564,12497.2815,14314.9317,14810.6609,31999.7708,32404.9334,29609.0249
C_3000K_ND4_color,7021.4790,12920.3878,12102.0907,9184.8613,9589.9743,4023.7825,16339.9270,13130.5511,278.7579,5417.1042,7305.4327,11152.0452,2961.6269,3692.0438,4990.0147,2054.3740,2226.6420,2019.5563,4490.5823,5671.4346,3773.0251,3504.3153,4033.6206,2724.2155,4537.6456,4849.8552,3206.4701,18802.8988,14256.3389,2630.6437,9024.8174,7484.0885,2981.6871,5576.8303,5851.3226,5344.8619,7125.7030,7093.4768,8175.1702,6919.9540,3806.6435,5058.1420,11072.5735,3270.1814,5669.5026,9189.3729,4118.8488,614.3169,8002.3686,6325.1121,4682.8931,13214.5827,13748.5835,12716.1023,7095.7726,4401.5032,2617.7719,7539.9502,3837.2537,2157.8795,13066.9550,5660.8907,2772.8048,1205.6723,3791.9646,5518.7467,7356.8311,8469.1731,8491.9323,20415.8894,20765.5319,18775.7444
C_3000K_ND5_color,3162.0115,6358.6047,5823.9325,4596.9910,4803.6374,2019.9079,8421.4093,6418.1137,138.7956,2864.5044,3701.2051,5410.9231,1454.9177,1809.2065,2294.4569,999.0639,1117.7202,984.6144,2082.4533,2671.5047,1746.2591,1629.8256,1944.5653,1258.5772,2087.0076,2319.1322,1453.5915,10119.6113,7383.1870,1170.9973,4490.4040,3675.4802,1448.9375,2673.3649,2861.5020,2592.8618,3786.2088,3581.3811,3871.9843,3462.3220,1942.2544,2425.6537,5281.1110,1721.5801,2696.7451,4560.7164,2331.6740,451.7616,3980.6393,3388.5791,2533.4494,6443.8235,6803.3267,6231.7451,3295.2609,2140.6704,1351.6409,3893.4904,1850.5334,997.3309,6615.0362,2585.3694,1198.6990,638.2639,1953.1531,2682.6308,4146.0702,4727.8999,4518.5892,10582.4659,10883.1126,9672.8788
C_6000K_ND0_color,48299.5869,47112.9998,35962.6280,41818.2712,38040.7343,21339.1348,53877.2318,49238.7149,19321.3501,38859.3528,40381.4633,39164.7665,29396.9658,25422.2744,19952.1295,29929.6560,20772.5933,10596.1120,43096.1424,36424.7118,17384.5650,34875.6195,25765.7644,15630.8230,40544.4958,26420.2278,22138.3586,52103.3416,45184.1754,24643.4802,40749.6389,32436.4694,18463.8816,49601.5370,37954.0142,24373.3409,46212.2357,39620.2801,33905.1427,38212.9053,28692.3510,24711.5004,47035.5832,32119.2029,30727.3214,48306.5725,33984.0644,17399.3783,40779.9154,32149.8112,20042.2645,54105.0097,48995.5742,36287.0150,48222.3455,29812.5019,16171.5274,38910.4709,26676.4292,14802.5200,46432.7337,35729.1826,21503.7617,25107.6003,24942.1782,31751.7442,32526.7026,30056.2971,27024.7159,52573.3321,50363.8872,41234.2816
C_6000K_ND1_color,37722.7876,37604.7880,25088.0288,34149.0234,28760.5468,12157.9362,48712.8285,37634.0766,8661.3541,30306.3175,26402.1415,25764.0198,19549.9427,15168.1955,11596.0639,17600.9643,11384.0265,4322.8505,29601.3463,23879.0256,8777.2092,22613.9038,16015.6364,7555.8212,26672.1179,16521.1624,10416.1206,49179.7437,36376.3848,14315.8906,32023.7944,23214.8410,10306.7659,34873.0323,25075.2883,13980.7064,34948.4323,26226.4390,21389.7277,29756.9817,18024.9376,14838.4781,40641.0404,20126.6780,18368.2240,41067.3079,21774.8729,7455.5553,34061.2634,22637.0674,11822.4019,50180.3421,39368.7891,25471.8985,36352.2040,18692.5896,7380.0507,30420.0420,16979.9037,7667.1815,40987.6024,24065.4931,12392.5119,14261.7356,14850.8004,16879.4475,24843.2443,22084.8141,16819.5146,50635.4397,44088.1798,29800.4187
C_6000K_ND2_color,29342.4695,29300.5758,18878.5200,28384.0698,22615.9435,8225.5860,44484.5370,30912.5430,3849.5553,23286.7221,18509.5758,18347.4862,14042.1897,10368.5912,8157.6719,11124.8940,7090.4207,2186.8627,21040.2469,16483.0731,5036.0717,15743.7673,11032.7694,4516.7225,19142.3774,11816.0289,6333.7046,45838.7863,29408.6164,8640.1264,27305.8509,17885.8919,6312.6502,25701.6989,17535.1554,8329.0293,26976.9280,19086.4157,15018.3606,23351.3380,12356.5715,9830.8221,34349.0845,13623.1521,11700.1625,32748.7724,14310.7460,2039.6076,27705.0873,16770.5545,7658.8144,43096.4793,32459.4059,20125.5562,28971.1253,13190.1822,3626.6793,24829.0713,11889.8881,4003.6818,36858.3708,17927.7873,6613.5432,8937.1647,10115.6184,10654.7868,20542.9262,17314.1804,12499.7279,49595.0711,39077.7218,24987.1768
C_6000K_ND3_color,17533.7673,17928.1277,10027.7611,18982.2443,14307.7037,3668.1222,32277.9548,20432.3639,173.5811,14266.2851,9742.2506,9753.0938,7969.4552,5409.3117,4385.8664,5590.4561,3620.7837,1243.9103,11671.1431,8732.9781,2758.3977,8869.4204,6227.4402,2287.7516,11187.0420,7250.6302,2951.6271,34613.0420,20212.4961,2213.9066,18486.4879,11120.2122,2090.9138,14754.2753,9332.4898,3172.6092,16767.7396,10545.1140,7212.5480,15366.3144,6478.6993,4335.9506,23632.4536,6494.1467,4365.5012,21425.4865,7185.6122,224.3979,18629.8974,10232.9854,4122.7500,29517.0414,20762.1622,10820.8524,16892.1184,6725.5447,1240.8374,16226.3149,6454.4236,1555.1043,25793.2954,9929.5079,2473.5105,4399.1494,5482.5381,5375.8814,15840.9682,12474.9451,8080.1884,37799.0706,27870.9818,16431.0883
